path,label
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+0+2294.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+0+2669.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+0+3245.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+0+3523.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+0+85.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+0+867.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+141+1134.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+212+575.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+277+0.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+353+3402.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+358+3085.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+38+2984.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+396+2473.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+396+2760.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+430+269.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+468+2216.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+47+1915.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+472+909.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+473+1909.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+508+1264.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+552+1523.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+552+559.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+579+0.tif,0
ang20200708t192518_ch4mf_v2y1_img/bg/ang20200708t192518_ch4mf_v2y1_img_tile256x256+70+1650.tif,0
ang20200708t192518_ch4mf_v2y1_img/pos/ang20200708t192518_ch4mf_v2y1_img_tile256x256+125+1391.tif,1
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+0+0.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+0+1762.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+0+2091.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+0+2748.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+0+3538.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+0+354.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+220+1460.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+332+658.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+349+1980.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+360+2244.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+378+3253.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+381+0.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+406+300.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+409+1105.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+43+1049.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+494+2805.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+50+689.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+502+1439.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+512+3565.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+524+1706.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+526+2511.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+76+3029.tif,0
ang20200708t193732_ch4mf_v2y1_img/bg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+82+2406.tif,0
ang20200708t193732_ch4mf_v2y1_img/neg/ang20200708t193732_ch4mf_v2y1_img_tile256x256+401+1431.tif,-1
